movie,source,type,url,mentions
The Big Lebowski,Rolling Stone,Organization,https://www.rollingstone.com/interactive/lists-cult-classics-a-z/#back-to-top,7
Clerks,Rolling Stone,Organization,https://www.rollingstone.com/interactive/lists-cult-classics-a-z/#back-to-top,8
Plan 9 From Outer Space,Rolling Stone,Organization,https://www.rollingstone.com/interactive/lists-cult-classics-a-z/#back-to-top,3
The Rocky Horror Picture Show,Rolling Stone,Organization,https://www.rollingstone.com/interactive/lists-cult-classics-a-z/#back-to-top,7
Beyond the Valley of the Dolls,Rolling Stone,Organization,https://www.rollingstone.com/interactive/lists-cult-classics-a-z/#back-to-top,2
The Warriors,Rolling Stone,Organization,https://www.rollingstone.com/interactive/lists-cult-classics-a-z/#back-to-top,6
Tremors,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502597,2
Death Race 2000,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502603,3
The Hunger,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502604,2
Dark Star,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502606,2
Time Bandits,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502609,2
Night of the Living Dead,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502611,4
Cherry 2000,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502613,2
Altered States,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502614,3
Repo Man,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502615,5
Monty Python and the Holy Grail,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502616,5
They Live,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502617,5
Naked Lunch,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502619,2
The Man Who Fell to Earth,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502620,4
Re-Animator,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502621,7
Big Trouble in Little China,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502622,2
Eraserhead,Gizmodo,Organization,https://io9.gizmodo.com/30-cult-movies-that-absolutely-everybody-must-see-1538502623,5
El Topo,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",4
Diabolik,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
Oldeuboi,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
The King of Comedy,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
Batoru rowaiaru,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
Dead Man,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",3
Bring Me the Head of Alfredo Garcia,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
Shogun Assassin,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
...E tu vivrai nel terrore! L'aldil‡,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
Vanishing Point,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
To Live and Die in L.A.,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
The Company of Wolves,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
Thriller - en grym film,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
THX 1138,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
Cannibal Holocaust,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
La planËte sauvage,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
La montaÒa sagrada,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",3
Phantom of the Paradise,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",4
Videodrome,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
Near Dark,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
Performance,IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",2
"Faster, Pussycat! Kill! Kill!",IMDB,Independent author,"https://www.imdb.com/list/ls073491422/?sort=list_order,asc&st_dt=&mode=simple&page=1&ref_=ttls_vw_smp",4
